,year,roll_number,congress,session,chamber,bill,vote_question,vote_type,date,time,vote_result,description,yea,nay,not_voting
1,1995,1,104,1,Senate,S.Res. 14,On the Motion to Table S.Amdt. 1: Motion to Table Harkin Amdt No. 1; To amend the Standing Rules of the Senate to permit cloture to be invoked by a decreasing majority vote of Senators down to a majority of all Senators duly chosen and sworn.,1/2,5/1/1995,11:31AM,Motion to Table Agreed to,To amend the Standing Rules of the Senate to permit cloture to be invoked by a decreasing majority vote of Senators down to a majority of all Senators duly chosen and sworn.,76,19,5
2,1995,2,104,1,Senate,S. 2,On the Motion to Table S.Amdt. 3: Motion to Table Levin Amdt No. 3; To provide for the reform of the disclosure of lobbying activities intended to influence the Federal Government and for gift reform.,1/2,5/1/1995,07:14PM,Motion to Table Agreed to,To provide for the reform of the disclosure of lobbying activities intended to influence the Federal Government and for gift reform.,52,39,9
3,1995,3,104,1,Senate,S. 2,On the Motion to Table S.Amdt. 5: Motion to Table Wellstone Amdt. No. 5; To restrict political contributions by lobbyists.,1/2,6/1/1995,11:46AM,Motion to Table Agreed to,To restrict political contributions by lobbyists.,74,17,9
4,1995,4,104,1,Senate,S. 2,"On the Motion S.Amdt. 6: motion to waive cba re: amdt no. 6, as modified; To establish Congressional enforcement of a balanced budget.",3/5,6/1/1995,02:30PM,Motion Rejected,To establish Congressional enforcement of a balanced budget.,30,53,17
5,1995,5,104,1,Senate,S. 2,On the Motion to Table S.Amdt. 7: MOTION TO TABLE SIMON AMDT NO. 7; To express the sense of the Senate regarding the Bridgestone/Firestone dispute.,1/2,6/1/1995,03:20PM,Motion to Table Agreed to,To express the sense of the Senate regarding the Bridgestone/Firestone dispute.,56,23,21
6,1995,6,104,1,Senate,S. 2,On the Amendment S.Amdt. 8: McConnell amdt. no. 8; To modify amendment number 4 to S. 2 to clarify Senate regulations on the use of frequent flyer miles.,1/2,10/1/1995,02:18PM,Amendment Agreed to,To modify amendment number 4 to S. 2 to clarify Senate regulations on the use of frequent flyer miles.,55,44,1
7,1995,7,104,1,Senate,S. 2,On the Motion to Table S.Amdt. 9: Motion to table wellstone amdt. no. 9; To express the sense of the Senate with respect to a timetable for the Senate's prompt consideration of comprehensive gift ban legislation.,1/2,10/1/1995,02:46PM,Motion to Table Agreed to,To express the sense of the Senate with respect to a timetable for the Senate's prompt consideration of comprehensive gift ban legislation.,55,44,1
8,1995,8,104,1,Senate,S. 2,On the Motion to Table S.Amdt. 11: motion to table leahy amdt. no.11; To prohibit a request of any current or prospective congressional employee to respond to their views on organizations or policy matters.,1/2,10/1/1995,03:13PM,Motion to Table Agreed to,To prohibit a request of any current or prospective congressional employee to respond to their views on organizations or policy matters.,79,20,1
9,1995,9,104,1,Senate,S. 2,On the Motion to Table S.Amdt. 10: motion to table Kerry amdt. no. 10; To restrict the use of campaign funds for personal purposes.,1/2,10/1/1995,03:35PM,Motion to Table Agreed to,To restrict the use of campaign funds for personal purposes.,64,35,1
10,1995,10,104,1,Senate,S. 2,On the Motion to Table S.Amdt. 13: motion to table glenn amdt. no. 13; To apply to the legislative branch the requirements regarding use of frequent flyer awards for official travel that are established in the Federal Acquisition Streamlining Act of 1994.,1/2,10/1/1995,04:29PM,Motion to Table Agreed to,To apply to the legislative branch the requirements regarding use of frequent flyer awards for official travel that are established in the Federal Acquisition Streamlining Act of 1994.,54,45,1
