,year,roll_number,congress,session,chamber,bill,vote_question,vote_type,date,time,vote_result,description,yea,nay,not_voting
1,1991,1,102,1,Senate,S.J.Res. 1,On the Joint Resolution: Nunn Resolution Re: Persian Gulf - S.J.Res.1; A joint resolution regarding United States policy to reverse Iraq's occupation of Kuwait.,1/2,12/1/1991,11:34AM,Joint Resolution Defeated,A joint resolution regarding United States policy to reverse Iraq's occupation of Kuwait.,46,53,1
2,1991,2,102,1,Senate,S.J.Res. 2,On the Joint Resolution: S.J.Res.2; A joint resolution to authorize the use of United States Armed Forces pursuant to United Nations Security Council Resolution 678.,1/2,12/1/1991,02:44PM,Joint Resolution Passed,A joint resolution to authorize the use of United States Armed Forces pursuant to United Nations Security Council Resolution 678.,52,47,1
3,1991,3,102,1,Senate,S.Con.Res. 2,On the Concurrent Resolution: S. Con. Res. 2; A concurrent resolution supporting the United States presence in the Persian Gulf.,1/2,17/1/1991,06:09PM,Concurrent Resolution Agreed to,,98,0,2
4,1991,4,102,1,Senate,H.R. 4,On Passage of the Bill: H.R. 4 Final Passage; A bill to extend the time for performing certain acts under the internal revenue laws for individuals performing services as part of the Desert Shield operation.,1/2,24/1/1991,12:20PM,Bill Passed,A bill to extend the time for performing certain acts under the internal revenue laws for individuals performing services as part of the Desert Shield operation.,99,0,1
5,1991,5,102,1,Senate,H.R. 3,"On Passage of the Bill: H.R. 3 Final Passage; A bill to amend title 38, United States Code, to revise, effective as of January 1, 1991, the rates of disability compensation for veterans with service-connected disabilities and the rates of dependency and indemnity compensation for survivors of such veterans.",1/2,24/1/1991,12:40PM,Bill Passed,"A bill to amend title 38, United States Code, to revise, effective as of January 1, 1991, the rates of disability compensation for veterans with service-connected disabilities and the rates of dependency and indemnity compensation for survivors of such veterans.",99,0,1
6,1991,6,102,1,Senate,S.Con.Res. 6,On the Concurrent Resolution: S.Con.Res.6; A concurrent resolution to express the sense of the Congress that the President should review economic benefits provided to the Soviet Union in light of the crisis in the Baltic states.,1/2,24/1/1991,12:52PM,Concurrent Resolution Agreed to,,99,0,1
7,1991,7,102,1,Senate,S.Con.Res. 5,On the Concurrent Resolution: S.Con.Res.5; A concurrent resolution demanding that the Government of Iraq abide by the Geneva Convention regarding the treatment of prisoners of war.,1/2,24/1/1991,01:08PM,Concurrent Resolution Agreed to,,99,0,1
8,1991,8,102,1,Senate,S.Con.Res. 4,On the Concurrent Resolution: S.Con.Res.4; A concurrent resolution condemning Iraq's unprovoked attack on Israel.,1/2,24/1/1991,01:20PM,Concurrent Resolution Agreed to,,99,0,1
9,1991,9,102,1,Senate,H.R. 556,"On Passage of the Bill: H.R. 556; A bill to provide for the Secretary of Veterans Affairs to obtain independent scientific review of the available scientific evidence regarding associations between diseases and exposure to dioxin and other chemical compounds in herbicides, and for other purposes.",1/2,30/1/1991,02:19PM,Bill Passed,"A bill to provide for the Secretary of Veterans Affairs to obtain independent scientific review of the available scientific evidence regarding associations between diseases and exposure to dioxin and other chemical compounds in herbicides, and for other purposes.",99,0,1
10,1991,10,102,1,Senate,S.J.Res. 44,On the Joint Resolution: S.J.Res.44; A joint resolution suspending certain provisions of law pursuant to section 258(a)(2) of the Balanced Budget and Emergency Deficit Control Act of 1985.,1/2,31/1/1991,02:29PM,Joint Resolution Defeated,A joint resolution suspending certain provisions of law pursuant to section 258(a)(2) of the Balanced Budget and Emergency Deficit Control Act of 1985.,2,97,1
11,1991,11,102,1,Senate,PN64,On the Nomination: Lynn Martin Nomination,1/2,7/2/1991,01:19PM,Nomination Confirmed,"Lynn Martin, of Illinois, to be Secretary of Labor",94,0,6
12,1991,12,102,1,Senate,S. 320,On the Amendment S.Amdt. 4: Hatfield Amdt. No. 4; To substitute a mandatory term of life imprisonment.,1/2,20/2/1991,05:02PM,Amendment Rejected,To substitute a mandatory term of life imprisonment.,25,72,3
13,1991,13,102,1,Senate,S. 320,On the Motion to Table S.Amdt. 3: Specter Amdt. No. 3; To amend the Omnibus Export Amendments Act of 1991 to include a provision to establish constitutional procedures for the imposition of the death penalty for terrorist murders.,1/2,20/2/1991,05:36PM,Motion to Table Failed,To amend the Omnibus Export Amendments Act of 1991 to include a provision to establish constitutional procedures for the imposition of the death penalty for terrorist murders.,23,74,3
14,1991,14,102,1,Senate,S. 320,On the Amendment S.Amdt. 7: Glenn Amdt. No.7; Expressing the sense of the Senate that the Secretary of Defense should prescribe regulations governing the assignment of members of the armed forces who are parents of minor children.,1/2,20/2/1991,07:30PM,Amendment Agreed to,Expressing the sense of the Senate that the Secretary of Defense should prescribe regulations governing the assignment of members of the armed forces who are parents of minor children.,91,0,9
15,1991,15,102,1,Senate,S. 320,On the Amendment S.Amdt. 5: Heinz Amdt. No. 5; To express the sense of the Senate that the Department of Defense make provisions to ensure the protection of children of military families and single parents assigned to Operation Desert Storm.,1/2,20/2/1991,08:13PM,Amendment Rejected,To express the sense of the Senate that the Department of Defense make provisions to ensure the protection of children of military families and single parents assigned to Operation Desert Storm.,38,54,8
16,1991,16,102,1,Senate,S. 347,On the Motion to Table S.Amdt. 11: Dodd Amdt. No. 11; To amend the Export-Import Bank Act of 1945.,1/2,21/2/1991,06:11PM,Motion to Table Agreed to,To amend the Export-Import Bank Act of 1945.,48,47,5
17,1991,17,102,1,Senate,S.Res. 62,On the Motion to Table S.Amdt. 16: Helms Amdt. No. 16; To strike the proposed increase in staff funding requested by the Foreign Relations Committee.,1/2,28/2/1991,01:51PM,Motion to Table Agreed to,To strike the proposed increase in staff funding requested by the Foreign Relations Committee.,55,41,4
18,1991,18,102,1,Senate,S.Res. 62,On the Motion to Table S.Amdt. 18: Motion To Table Amdt. No. 18; In the nature of a substitute.,1/2,28/2/1991,02:48PM,Motion to Table Agreed to,In the nature of a substitute.,56,40,4
19,1991,19,102,1,Senate,S.Res. 62,On the Motion to Table S.Amdt. 20: Motion To Table Amdt. No. 20; To limit committee staff.,1/2,28/2/1991,04:00PM,Motion to Table Agreed to,To limit committee staff.,55,41,4
20,1991,20,102,1,Senate,S.Res. 62,On the Resolution: Cmte.  Funding Resolution No. 62; An original resolution authorizing biennial expenditures by committees of the Senate.,1/2,28/2/1991,04:56PM,Resolution Agreed to,An original resolution authorizing biennial expenditures by committees of the Senate.,72,22,6
21,1991,21,102,1,Senate,S. 419,"On the Motion to Table S.Amdt. 23: MotionTo Table Harkin Amdt. No. 23; To decrease the amount of additional funding for the Resolution Trust Corporation, to require the President to submit certain recommendations to the Congress with any future requests, and for other purposes.",1/2,6/3/1991,10:37AM,Motion to Table Agreed to,"To decrease the amount of additional funding for the Resolution Trust Corporation, to require the President to submit certain recommendations to the Congress with any future requests, and for other purposes.",71,28,1
22,1991,22,102,1,Senate,S. 419,On the Motion to Table S.Amdt. 25: Motion To Table Kerrey Amdt. No.25; To amend the Federal Home Loan Bank Act to restructure the Resolution Trust Corporation Oversight Board of Directors into a single governing entity.,1/2,6/3/1991,02:52PM,Motion to Table Agreed to,To amend the Federal Home Loan Bank Act to restructure the Resolution Trust Corporation Oversight Board of Directors into a single governing entity.,63,37,
23,1991,23,102,1,Senate,S. 419,"On the Motion to Table S.Amdt. 14: Motion To Table S.Amdt. No. 14; To provide additional funds for the Resolution Trust Corporation, and additional funds on a dollar-for-dollar match for each dollar in cash dividends the Corporation receives from sales of assets currently in receivership.",1/2,6/3/1991,04:10PM,Motion to Table Agreed to,"To provide additional funds for the Resolution Trust Corporation, and additional funds on a dollar-for-dollar match for each dollar in cash dividends the Corporation receives from sales of assets currently in receivership.",80,19,1
24,1991,24,102,1,Senate,PN138,On the Nomination: Madigan Nomination - DoA Secretary,1/2,7/3/1991,12:30PM,Nomination Confirmed,"Edward R. Madigan, of Illinois, to be Secretary of Agriculture",99,0,1
25,1991,25,102,1,Senate,S. 419,On Passage of the Bill: Final Passage S.419; An original bill to amend the Federal Home Loan Bank Act to enable the Resolution Trust Corporation to meet its obligations to depositors and others by the least expensive means.,1/2,7/3/1991,04:29PM,Bill Passed,An original bill to amend the Federal Home Loan Bank Act to enable the Resolution Trust Corporation to meet its obligations to depositors and others by the least expensive means.,69,30,1
26,1991,26,102,1,Senate,S. 578,On the Motion to Table S.Amdt. 33: Motion To Table Bumpers Amdt. No. 33; To authorize the Small Business Administration to provide financial and business development assistance to military reservists' small businesses. and for other purposes.,1/2,14/3/1991,02:09PM,Motion to Table Agreed to,To authorize the Small Business Administration to provide financial and business development assistance to military reservists' small businesses. and for other purposes.,58,38,4
27,1991,27,102,1,Senate,S.Res. 76,"On the Resolution: Final Passage - S.Res. 76; A resolution to encourage the President of the United States to confer with the sovereign state of Kuwait, countries of the coalition or the United Nations to establish an International Criminal Court or an International Military Tribunal to try and punish all individuals, including President Saddam Hussein, involved in the planning or execution of crimes against peace, war crimes, and crimes against humanity as defined under international law.",1/2,14/3/1991,02:35PM,Resolution Agreed to,"A resolution to encourage the President of the United States to confer with the sovereign state of Kuwait, countries of the coalition or the United Nations to establish an International Criminal Court or an International Military Tribunal to try and punish all individuals, including President Saddam Hussein, involved in the planning or execution of crimes against peace, war crimes, and crimes against humanity as defined under international law.",97,0,3
28,1991,28,102,1,Senate,S. 578,On the Motion to Table S.Amdt. 35: Motion To Table Helms Amdt. No. 35; To assure that U.S. tax dollars are not used for the rebuilding of Iraq.,1/2,14/3/1991,04:08PM,Motion to Table Failed,To assure that U.S. tax dollars are not used for the rebuilding of Iraq.,0,98,2
29,1991,29,102,1,Senate,S. 578,On the Amendment S.Amdt. 36: Mitchell Amdt.No. 36; To express the sense of the Senate that none of the funds appropriated or otherwise made available by any provision of law may be obligated or expended for the purpose of rebuilding Iraq while Saddam Hussein remains in power in Iraq.,1/2,14/3/1991,04:52PM,Amendment Agreed to,To express the sense of the Senate that none of the funds appropriated or otherwise made available by any provision of law may be obligated or expended for the purpose of rebuilding Iraq while Saddam Hussein remains in power in Iraq.,98,0,2
