,year,roll_number,congress,session,chamber,bill,vote_question,vote_type,date,time,vote_result,description,yea,nay,not_voting
1,2001,1,107,1,Senate,PN101,"On the Nomination: Confirmation: Mitchell E. Daniels, to be Director of the O.M.B.",1/2,23/1/2001,02:44PM,Nomination Confirmed,"Mitchell E. Daniels, Jr., of Indiana, to be Director of the Office of Management and Budget",100,0,
2,2001,2,107,1,Senate,PN102,On the Nomination: Nomination: Anthony Joseph Principi to be Secretary of Veterans Affairs,1/2,23/1/2001,02:44PM,Nomination Confirmed,"Anthony Joseph Principi, of California, to be Secretary of Veterans Affairs",100,0,
3,2001,3,107,1,Senate,PN93,"On the Nomination: Nomination: Melquiades Rafael Martinez, to be Secretary of H.U.D.",1/2,23/1/2001,02:44PM,Nomination Confirmed,"Melquiades Rafael Martinez, of Florida, to be Secretary of Housing and Urban Development",100,0,
4,2001,4,107,1,Senate,PN98,On the Nomination: Confirmation: Tommy G. Thompson to be Secretary of Health And Human Services,1/2,24/1/2001,11:31AM,Nomination Confirmed,"Tommy G. Thompson, of Wisconsin, to be Secretary of Health and Human Services",100,0,
5,2001,5,107,1,Senate,PN104,On the Nomination: Confirmation: Norman Y. Mineta to be Secretary of Transportation,1/2,24/1/2001,12:02PM,Nomination Confirmed,"Norman Y. Mineta, of California, to be Secretary of Transportation",100,0,
6,2001,6,107,1,Senate,PN96,On the Nomination: Confirmation: Gale Ann Norton to be Secretary of the Interior,1/2,30/1/2001,02:46PM,Nomination Confirmed,"Gale Ann Norton, of Colorado, to be Secretary of the Interior",75,24,1
7,2001,7,107,1,Senate,PN97,"On the Nomination: Nomination: Christine Todd Whitman, to be Administrator, E.P.A.",1/2,30/1/2001,03:17PM,Nomination Confirmed,"Christine Todd Whitman, of New Jersey, to be Administrator of the Environmental Protection Agency",99,0,1
8,2001,8,107,1,Senate,PN107,"On the Nomination: Confirmation: John Ashcroft, of Missouri, to be Attorney General",1/2,1/2/2001,01:39PM,Nomination Confirmed,"John Ashcroft, of Missouri, to be Attorney General",58,42,
9,2001,9,107,1,Senate,PN105,"On the Nomination: Confirmation: Robert B. Zoellick, to be U.S. Trade Representative",1/2,6/2/2001,04:20PM,Nomination Confirmed,"Robert B. Zoellick, of Virginia, to be United States Trade Representative, with the rank of Ambassador",98,0,2
10,2001,10,107,1,Senate,S. 248,"On Passage of the Bill: S.248; A bill to amend the Admiral James W. Nance and Meg Donovan Foreign Relations Authorization Act, Fiscal Years 2000 and 2001, to adjust a condition on the payment of arrearages to the United Nations that sets the maximum share of any United Nations peacekeeping operation's budget that may be assessed of any  country.",1/2,7/2/2001,03:00PM,Bill Passed,"A bill to amend the Admiral James W. Nance and Meg Donovan Foreign Relations Authorization Act, Fiscal Years 2000 and 2001, to adjust a condition on the payment of arrearages to the United Nations that sets the maximum share of any United Nations peacekeeping operation's budget that may be assessed of any  country.",99,0,1
11,2001,11,107,1,Senate,S. 235,"On Passage of the Bill: S.235; A bill to provide for enhanced safety, public awareness, and environmental protection in pipeline transportation, and for other purposes.",1/2,8/2/2001,02:53PM,Bill Passed,"A bill to provide for enhanced safety, public awareness, and environmental protection in pipeline transportation, and for other purposes.",98,0,2
