,year,roll_number,congress,session,chamber,bill,vote_question,vote_type,date,time,vote_result,description,yea,nay,not_voting
2,1994,2,103,2,Senate,S. 1281,"On the Amendment S.Amdt. 1248: Helms Amdt. No. 1248; To withhold funds for fiscal years 1994 and 1995 from the funds authorized to be appropriated for ""Contributions for International Organizations"" until the President certifies that no United Nations Agency or United Nations-affiliated agency grants any recognition to an organization that condones pedophilia.",1/2,26/1/1994,10:31AM,Amendment Agreed to,"To withhold funds for fiscal years 1994 and 1995 from the funds authorized to be appropriated for ""Contributions for International Organizations"" until the President certifies that no United Nations Agency or United Nations-affiliated agency grants any recognition to an organization that condones pedophilia.",99,0,1
3,1994,3,103,2,Senate,S. 1281,On the Motion to Table S.Amdt. 1254: Motion to Table Helms Amdt. No. 1254; To strike all language in Section 170A relating to support for an international criminal court.,1/2,26/1/1994,02:01PM,Motion to Table Agreed to,To strike all language in Section 170A relating to support for an international criminal court.,55,45,
4,1994,4,103,2,Senate,S. 1281,On the Amendment S.Amdt. 1253: Pressler Amdt. No. 1253 as modified; Relating to United Nations budgetary and management reform.,1/2,26/1/1994,02:24PM,Amendment Agreed to,Relating to United Nations budgetary and management reform.,93,6,1
5,1994,5,103,2,Senate,S. 1281,On the Amendment S.Amdt. 1263: kerry amdt no. 1263; In the nature of a substitute.,1/2,27/1/1994,10:11AM,Amendment Agreed to,In the nature of a substitute.,62,38,
6,1994,6,103,2,Senate,S. 1281,On the Amendment S.Amdt. 1266: smith amndt no. 1266; To express the sense of the Senate relating to the lifting of sanctions on the Socialist Republic of Vietnam contingent upon a resolution of all cases or reports of unaccounted for U.S. personnel lost or captured during the war in Vietnam.,1/2,27/1/1994,10:31AM,Amendment Rejected,To express the sense of the Senate relating to the lifting of sanctions on the Socialist Republic of Vietnam contingent upon a resolution of all cases or reports of unaccounted for U.S. personnel lost or captured during the war in Vietnam.,42,58,
7,1994,7,103,2,Senate,S. 1281,On the Motion to Table S.Amdt. 1267: Motion to Table Bumpers Amdt. No. 1267; To reduce the amount of appropriations authorized for the National Endowment for Democracy.,1/2,27/1/1994,12:34PM,Motion to Table Failed,To reduce the amount of appropriations authorized for the National Endowment for Democracy.,41,59,
8,1994,8,103,2,Senate,S. 1281,"On the Amendment S.Amdt. 1281: dole amdt. no. 1281; To express the sense of the Senate regarding termination of the United States arms embargo of the Government of Bosnia and Herzegovina, and for other purposes.",1/2,27/1/1994,05:25PM,Amendment Agreed to,"To express the sense of the Senate regarding termination of the United States arms embargo of the Government of Bosnia and Herzegovina, and for other purposes.",87,9,4
9,1994,9,103,2,Senate,S. 1281,"On the Amendment S.Amdt. 1280: mcconnell amdt no. 1280, as modified; In the nature of a substitute.",1/2,27/1/1994,06:55PM,Amendment Agreed to,In the nature of a substitute.,94,3,3
10,1994,10,103,2,Senate,S. 1281,"On the Amendment S.Amdt. 1278: helms amdt no. 1278, as modified; To prevent the U.S. from joining any international criminal court which fails to protect the Fourth Amendment rights of American citizens.",1/2,27/1/1994,07:16PM,Amendment Agreed to,To prevent the U.S. from joining any international criminal court which fails to protect the Fourth Amendment rights of American citizens.,91,3,6
11,1994,11,103,2,Senate,S. 1281,"On the Motion to Table S.Amdt. 1287: motion to table specter amdt no. 1287; To require that bilateral assistance and international lending be collateralized by petroleum products, minerals or other commodities.",1/2,28/1/1994,11:24AM,Motion to Table Agreed to,"To require that bilateral assistance and international lending be collateralized by petroleum products, minerals or other commodities.",60,33,7
12,1994,12,103,2,Senate,S. 1281,On the Amendment S.Amdt. 1286: Brown Amdt. No. 1286; To prohibit the sale of defense articles and defense services to countries that participate in the secondary and tertiary boycott of Israel.,1/2,28/1/1994,11:48AM,Amendment Agreed to,To prohibit the sale of defense articles and defense services to countries that participate in the secondary and tertiary boycott of Israel.,93,0,7
13,1994,13,103,2,Senate,S. 1281,"On the Amendment S.Amdt. 1318: cohen amdt no. 1318; To encourage Germany to assume full and active participation in international peacekeeping activities, and for other purposes.",1/2,1/2/1994,10:08AM,Amendment Agreed to,"To encourage Germany to assume full and active participation in international peacekeeping activities, and for other purposes.",96,1,3
14,1994,14,103,2,Senate,S. 1281,On the Amendment S.Amdt. 1327: lautenberg amdt no. 1327; To extend certain adjudication provisions.,1/2,1/2/1994,02:30PM,Amendment Agreed to,To extend certain adjudication provisions.,85,15,
15,1994,15,103,2,Senate,S. 1281,On the Motion to Table S.Amdt. 1320: Motion to Table Helms Amdt. No. 1320; To maintain the current number of Assistant Secretaries of State and State Department officials compensated at level IV of the Executive Schedule.,1/2,1/2/1994,06:06PM,Motion to Table Agreed to,To maintain the current number of Assistant Secretaries of State and State Department officials compensated at level IV of the Executive Schedule.,51,49,
16,1994,16,103,2,Senate,S. 1281,On the Amendment S.Amdt. 1335: Kerry Amdt. No. 1335; In the nature of a substitute.,1/2,1/2/1994,06:29PM,Amendment Agreed to,In the nature of a substitute.,61,39,
